### sudoku4a.dat
### Author: Ruaridh Williamson

## Part A

set A :=   (1,1,7)
           (1,6,3)
           (1,9,2)
           (2,3,4)
           (2,7,1)
           (2,9,9)
           (3,3,5)
           (3,4,2)
           (3,6,9)
           (4,2,2)
           (4,5,1)
           (4,6,5)
           (4,8,7)
           (6,2,9)
           (6,4,4)
           (6,5,7)
           (6,8,8)
           (7,4,7)
           (7,6,4)
           (7,7,8)
           (8,1,3)
           (8,3,2)
           (8,7,5)
           (9,1,9)
           (9,4,3)
           (9,9,1);
